Document,Owner,Needed for,Status,Notes
Company registration extract,Lead company,Eligibility,To collect,APR / MBR / AJPES depending on lead
SME declaration evidence,Lead company,Eligibility,To collect,Employees turnover balance sheet linked enterprises
Ownership and UBO structure,Lead company,Eligibility,To collect,
Tax/VAT number evidence,Lead company,Eligibility,To collect,
Latest financial statements,Lead company,Financial capacity,To collect,
Bank account confirmation,Lead company,Contracting,To collect,
Team CVs,Project team,Proposal,To draft,Short EU-style bios
Reference projects,Lead company,Proposal,To collect,Relevant AI/data/industry deployments
Demo screenshots or product deck,Lead company,Proposal,To collect,Use as evidence internally and for proposal language
Annex 2 proposal PDF,Proposal owner,Submission,To draft,Mandatory template
Declaration of Honour,Lead company,Contracting if selected,Later,Annex 4 or Annex 5 depending on structure
SME Declaration,Lead company,Contracting if selected,Later,Annex 6
Consortium declaration,All partners,Contracting if selected,Later,Only if consortium
F6S profile,Lead company,Submission,To complete,
Proof of submission,Lead company,Archive,Later,Save after submission
